"","Rice","Growth"
"1",771,NA
"2",668,-13.3592736705577
"3",714,6.88622754491017
"4",764,7.00280112044818
"5",902,18.0628272251309
"6",820,-9.09090909090909
"7",874,6.58536585365854
"8",900,2.97482837528604
"9",790,-12.2222222222222
"10",930,17.7215189873418
"11",937,0.752688172043015
"12",1013,8.11099252934899
"13",1028,1.48075024679171
"14",931,-9.43579766536965
"15",1033,10.9559613319012
"16",1078,4.35624394966119
"17",862,-20.0371057513915
"18",863,0.116009280742468
"19",1032,19.5828505214368
"20",1076,4.26356589147288
"21",1073,-0.278810408921937
"22",1123,4.65983224603914
"23",1141,1.60284951024043
"24",1070,-6.22261174408414
"25",1151,7.57009345794393
"26",1045,-9.20938314509122
"27",1235,18.1818181818182
"28",1088,-11.9028340080972
"29",1308,20.2205882352941
"30",1328,1.52905198776758
"31",1074,-19.1265060240964
"32",1336,24.3947858472998
"33",1308,-2.09580838323353
"34",1231,-5.8868501529052
"35",1457,18.3590576766856
"36",1417,-2.74536719286205
"37",1552,9.5271700776288
"38",1471,-5.21907216494846
"39",1473,0.135961930659412
"40",1689,14.6639511201629
"41",1745,3.31557134399052
"42",1740,-0.286532951289398
"43",1751,0.63218390804598
"44",1744,-0.399771559109086
"45",1888,8.25688073394495
"46",1911,1.21822033898304
"47",1797,-5.96546310832025
"48",1882,4.73010573177519
"49",1900,0.956429330499464
"50",1921,1.10526315789474
"51",1986,3.38365434669443
"52",1900,-4.33031218529708
"53",2079,9.42105263157895
"54",1744,-16.1135161135161
"55",2078,19.151376146789
"56",1984,-4.52358036573628
"57",2102,5.9475806451613
"58",2131,1.37963843958135
"59",2202,3.3317691224777
"60",2178,-1.0899182561308
"61",2125,-2.43342516069789
"62",2239,5.36470588235294
"63",2393,6.8780705672175
"64",2462,2.88340994567489
"65",2416,-1.86839967506093
"66",2391,-1.03476821192053
